Year|Consumption|State|Source
2017|681236|Alabama|Natural Gas
2016|715033|Alabama|Natural Gas
2015|701582|Alabama|Natural Gas
2014|650570|Alabama|Natural Gas
2013|625869|Alabama|Natural Gas
2012|677380|Alabama|Natural Gas
2011|609288|Alabama|Natural Gas
2010|544405|Alabama|Natural Gas
2009|466272|Alabama|Natural Gas
2008|414260|Alabama|Natural Gas
2007|430649|Alabama|Natural Gas
2006|402044|Alabama|Natural Gas
2005|363398|Alabama|Natural Gas
2004|391927|Alabama|Natural Gas
2003|360483|Alabama|Natural Gas
2002|389965|Alabama|Natural Gas
2001|344004|Alabama|Natural Gas
2000|368472|Alabama|Natural Gas
1999|349076|Alabama|Natural Gas
1998|341973|Alabama|Natural Gas
1997|337431|Alabama|Natural Gas
1996|337764|Alabama|Natural Gas
1995|332399|Alabama|Natural Gas
1994|299250|Alabama|Natural Gas
1993|302250|Alabama|Natural Gas
1992|287947|Alabama|Natural Gas
1991|261476|Alabama|Natural Gas
1990|252128|Alabama|Natural Gas
1989|253577|Alabama|Natural Gas
1988|243192|Alabama|Natural Gas
1987|214611|Alabama|Natural Gas
1986|210226|Alabama|Natural Gas
1985|227780|Alabama|Natural Gas
1984|239598|Alabama|Natural Gas
1983|229993|Alabama|Natural Gas
1982|253391|Alabama|Natural Gas
1981|281022|Alabama|Natural Gas
1980|278342|Alabama|Natural Gas
1979|291485|Alabama|Natural Gas
1978|244969|Alabama|Natural Gas
1977|248715|Alabama|Natural Gas
1976|232758|Alabama|Natural Gas
1975|271747|Alabama|Natural Gas
1974|282454|Alabama|Natural Gas
1973|279958|Alabama|Natural Gas
1972|287100|Alabama|Natural Gas
1971|294838|Alabama|Natural Gas
1970|307750|Alabama|Natural Gas
1969|310822|Alabama|Natural Gas
1968|296690|Alabama|Natural Gas
1967|262055|Alabama|Natural Gas
1966|240755|Alabama|Natural Gas
1965|236949|Alabama|Natural Gas
1964|230316|Alabama|Natural Gas
1963|211348|Alabama|Natural Gas
1962|201250|Alabama|Natural Gas
1961|191533|Alabama|Natural Gas
1960|190706|Alabama|Natural Gas
2017|343899|Alaska|Natural Gas
2016|330883|Alaska|Natural Gas
2015|333936|Alaska|Natural Gas
2014|329274|Alaska|Natural Gas
2013|332631|Alaska|Natural Gas
2012|347228|Alaska|Natural Gas
2011|339819|Alaska|Natural Gas
2010|334978|Alaska|Natural Gas
2009|343971|Alaska|Natural Gas
2008|343938|Alaska|Natural Gas
2007|372186|Alaska|Natural Gas
2006|375719|Alaska|Natural Gas
2005|434704|Alaska|Natural Gas
2004|407944|Alaska|Natural Gas
2003|415891|Alaska|Natural Gas
2002|420808|Alaska|Natural Gas
2001|413049|Alaska|Natural Gas
2000|437972|Alaska|Natural Gas
1999|422817|Alaska|Natural Gas
1998|434437|Alaska|Natural Gas
1997|425394|Alaska|Natural Gas
1996|443629|Alaska|Natural Gas
1995|432813|Alaska|Natural Gas
1994|367592|Alaska|Natural Gas
1993|375971|Alaska|Natural Gas
1992|383887|Alaska|Natural Gas
1991|367952|Alaska|Natural Gas
1990|326826|Alaska|Natural Gas
1989|321207|Alaska|Natural Gas
1988|288798|Alaska|Natural Gas
1987|251512|Alaska|Natural Gas
1986|208311|Alaska|Natural Gas
1985|214042|Alaska|Natural Gas
1984|258039|Alaska|Natural Gas
1983|239678|Alaska|Natural Gas
1982|237881|Alaska|Natural Gas
1981|122214|Alaska|Natural Gas
1980|153805|Alaska|Natural Gas
1979|157236|Alaska|Natural Gas
1978|145025|Alaska|Natural Gas
1977|116859|Alaska|Natural Gas
1976|90571|Alaska|Natural Gas
1975|85175|Alaska|Natural Gas
1974|63188|Alaska|Natural Gas
1973|63703|Alaska|Natural Gas
1972|75032|Alaska|Natural Gas
1971|68045|Alaska|Natural Gas
1970|64045|Alaska|Natural Gas
1969|42940|Alaska|Natural Gas
1968|17636|Alaska|Natural Gas
1967|11889|Alaska|Natural Gas
1966|12282|Alaska|Natural Gas
1965|7670|Alaska|Natural Gas
1964|6805|Alaska|Natural Gas
1963|5567|Alaska|Natural Gas
1962|4048|Alaska|Natural Gas
1961|2300|Alaska|Natural Gas
1960|2034|Alaska|Natural Gas
2017|334605|Arizona|Natural Gas
2016|373916|Arizona|Natural Gas
2015|365313|Arizona|Natural Gas
2014|315916|Arizona|Natural Gas
2013|340375|Arizona|Natural Gas
2012|339043|Arizona|Natural Gas
2011|293134|Arizona|Natural Gas
2010|336208|Arizona|Natural Gas
2009|377504|Arizona|Natural Gas
2008|409966|Arizona|Natural Gas
2007|401992|Arizona|Natural Gas
2006|365230|Arizona|Natural Gas
2005|329302|Arizona|Natural Gas
2004|356264|Arizona|Natural Gas
2003|275650|Arizona|Natural Gas
2002|255247|Arizona|Natural Gas
2001|244424|Arizona|Natural Gas
2000|208137|Arizona|Natural Gas
1999|167770|Arizona|Natural Gas
1998|161086|Arizona|Natural Gas
1997|137588|Arizona|Natural Gas
1996|125265|Arizona|Natural Gas
1995|127945|Arizona|Natural Gas
1994|139733|Arizona|Natural Gas
1993|118159|Arizona|Natural Gas
1992|133771|Arizona|Natural Gas
1991|128178|Arizona|Natural Gas
1990|130781|Arizona|Natural Gas
1989|151468|Arizona|Natural Gas
1988|128594|Arizona|Natural Gas
1987|121301|Arizona|Natural Gas
1986|105103|Arizona|Natural Gas
1985|137315|Arizona|Natural Gas
1984|126844|Arizona|Natural Gas
1983|120418|Arizona|Natural Gas
1982|142323|Arizona|Natural Gas
1981|192208|Arizona|Natural Gas
1980|173970|Arizona|Natural Gas
1979|180580|Arizona|Natural Gas
1978|186366|Arizona|Natural Gas
1977|176449|Arizona|Natural Gas
1976|180181|Arizona|Natural Gas
1975|164346|Arizona|Natural Gas
1974|204955|Arizona|Natural Gas
1973|226325|Arizona|Natural Gas
1972|241355|Arizona|Natural Gas
1971|225898|Arizona|Natural Gas
1970|204383|Arizona|Natural Gas
1969|210332|Arizona|Natural Gas
1968|189965|Arizona|Natural Gas
1967|169085|Arizona|Natural Gas
1966|174448|Arizona|Natural Gas
1965|166063|Arizona|Natural Gas
1964|174623|Arizona|Natural Gas
1963|169533|Arizona|Natural Gas
1962|163461|Arizona|Natural Gas
1961|159093|Arizona|Natural Gas
1960|140275|Arizona|Natural Gas
2017|317543|Arkansas|Natural Gas
2016|315617|Arkansas|Natural Gas
2015|296826|Arkansas|Natural Gas
2014|273009|Arkansas|Natural Gas
2013|288045|Arkansas|Natural Gas
2012|300572|Arkansas|Natural Gas
2011|288906|Arkansas|Natural Gas
2010|274774|Arkansas|Natural Gas
2009|248100|Arkansas|Natural Gas
2008|238424|Arkansas|Natural Gas
2007|229610|Arkansas|Natural Gas
2006|240885|Arkansas|Natural Gas
2005|216600|Arkansas|Natural Gas
2004|217921|Arkansas|Natural Gas
2003|254571|Arkansas|Natural Gas
2002|247899|Arkansas|Natural Gas
2001|231590|Arkansas|Natural Gas
2000|256114|Arkansas|Natural Gas
1999|257666|Arkansas|Natural Gas
1998|272888|Arkansas|Natural Gas
1997|264019|Arkansas|Natural Gas
1996|274991|Arkansas|Natural Gas
1995|271956|Arkansas|Natural Gas
1994|247187|Arkansas|Natural Gas
1993|232682|Arkansas|Natural Gas
1992|226598|Arkansas|Natural Gas
1991|212680|Arkansas|Natural Gas
1990|234465|Arkansas|Natural Gas
1989|251139|Arkansas|Natural Gas
1988|218787|Arkansas|Natural Gas
1987|172340|Arkansas|Natural Gas
1986|202982|Arkansas|Natural Gas
1985|199350|Arkansas|Natural Gas
1984|214432|Arkansas|Natural Gas
1983|211726|Arkansas|Natural Gas
1982|227389|Arkansas|Natural Gas
1981|265043|Arkansas|Natural Gas
1980|273987|Arkansas|Natural Gas
1979|255010|Arkansas|Natural Gas
1978|220898|Arkansas|Natural Gas
1977|234379|Arkansas|Natural Gas
1976|248194|Arkansas|Natural Gas
1975|257445|Arkansas|Natural Gas
1974|290102|Arkansas|Natural Gas
1973|327475|Arkansas|Natural Gas
1972|317640|Arkansas|Natural Gas
1971|334979|Arkansas|Natural Gas
1970|383478|Arkansas|Natural Gas
1969|349990|Arkansas|Natural Gas
1968|321569|Arkansas|Natural Gas
1967|295756|Arkansas|Natural Gas
1966|289632|Arkansas|Natural Gas
1965|277661|Arkansas|Natural Gas
1964|278852|Arkansas|Natural Gas
1963|252846|Arkansas|Natural Gas
1962|235477|Arkansas|Natural Gas
1961|215311|Arkansas|Natural Gas
1960|222202|Arkansas|Natural Gas
2017|2190612|California|Natural Gas
2016|2248939|California|Natural Gas
2015|2384061|California|Natural Gas
2014|2409574|California|Natural Gas
2013|2480792|California|Natural Gas
2012|2456371|California|Natural Gas
2011|2196252|California|Natural Gas
2010|2325411|California|Natural Gas
2009|2391374|California|Natural Gas
2008|2472612|California|Natural Gas
2007|2467545|California|Natural Gas
2006|2375929|California|Natural Gas
2005|2304463|California|Natural Gas
2004|2462247|California|Natural Gas
2003|2317062|California|Natural Gas
2002|2318656|California|Natural Gas
2001|2513856|California|Natural Gas
2000|2456438|California|Natural Gas
1999|2379558|California|Natural Gas
1998|2418688|California|Natural Gas
1997|2185029|California|Natural Gas
1996|2017680|California|Natural Gas
1995|2109956|California|Natural Gas
1994|2334777|California|Natural Gas
1993|2213111|California|Natural Gas
1992|2294135|California|Natural Gas
1991|2208285|California|Natural Gas
1990|2101602|California|Natural Gas
1989|2047845|California|Natural Gas
1988|1860391|California|Natural Gas
1987|1992956|California|Natural Gas
1986|1591045|California|Natural Gas
1985|1925459|California|Natural Gas
1984|1739833|California|Natural Gas
1983|1601037|California|Natural Gas
1982|1765171|California|Natural Gas
1981|1947370|California|Natural Gas
1980|1890887|California|Natural Gas
1979|1900357|California|Natural Gas
1978|1646333|California|Natural Gas
1977|1864187|California|Natural Gas
1976|1849711|California|Natural Gas
1975|1937322|California|Natural Gas
1974|1937140|California|Natural Gas
1973|2154045|California|Natural Gas
1972|2303562|California|Natural Gas
1971|2265324|California|Natural Gas
1970|2241295|California|Natural Gas
1969|2189883|California|Natural Gas
1968|2187260|California|Natural Gas
1967|2048734|California|Natural Gas
1966|1982305|California|Natural Gas
1965|1813213|California|Natural Gas
1964|1817241|California|Natural Gas
1963|1623370|California|Natural Gas
1962|1483423|California|Natural Gas
1961|1400174|California|Natural Gas
1960|1301826|California|Natural Gas
2017|462123|Colorado|Natural Gas
2016|464749|Colorado|Natural Gas
2015|490642|Colorado|Natural Gas
2014|497182|Colorado|Natural Gas
2013|480875|Colorado|Natural Gas
2012|456471|Colorado|Natural Gas
2011|477208|Colorado|Natural Gas
2010|505628|Colorado|Natural Gas
2009|525999|Colorado|Natural Gas
2008|508491|Colorado|Natural Gas
2007|512841|Colorado|Natural Gas
2006|458911|Colorado|Natural Gas
2005|478520|Colorado|Natural Gas
2004|440720|Colorado|Natural Gas
2003|436873|Colorado|Natural Gas
2002|457708|Colorado|Natural Gas
2001|464062|Colorado|Natural Gas
2000|366094|Colorado|Natural Gas
1999|330896|Colorado|Natural Gas
1998|328897|Colorado|Natural Gas
1997|311900|Colorado|Natural Gas
1996|315855|Colorado|Natural Gas
1995|288383|Colorado|Natural Gas
1994|272152|Colorado|Natural Gas
1993|286366|Colorado|Natural Gas
1992|259036|Colorado|Natural Gas
1991|268787|Colorado|Natural Gas
1990|232296|Colorado|Natural Gas
1989|240556|Colorado|Natural Gas
1988|218567|Colorado|Natural Gas
1987|201536|Colorado|Natural Gas
1986|190320|Colorado|Natural Gas
1985|209799|Colorado|Natural Gas
1984|220950|Colorado|Natural Gas
1983|207120|Colorado|Natural Gas
1982|216115|Colorado|Natural Gas
1981|201432|Colorado|Natural Gas
1980|244771|Colorado|Natural Gas
1979|260824|Colorado|Natural Gas
1978|234600|Colorado|Natural Gas
1977|253994|Colorado|Natural Gas
1976|276287|Colorado|Natural Gas
1975|280996|Colorado|Natural Gas
1974|302725|Colorado|Natural Gas
1973|311694|Colorado|Natural Gas
1972|301651|Colorado|Natural Gas
1971|281846|Colorado|Natural Gas
1970|274987|Colorado|Natural Gas
1969|268895|Colorado|Natural Gas
1968|253481|Colorado|Natural Gas
1967|210209|Colorado|Natural Gas
1966|207693|Colorado|Natural Gas
1965|204483|Colorado|Natural Gas
1964|205251|Colorado|Natural Gas
1963|180366|Colorado|Natural Gas
1962|202310|Colorado|Natural Gas
1961|210872|Colorado|Natural Gas
1960|194963|Colorado|Natural Gas
2017|246533|Connecticut|Natural Gas
2016|254652|Connecticut|Natural Gas
2015|260925|Connecticut|Natural Gas
2014|242227|Connecticut|Natural Gas
2013|240102|Connecticut|Natural Gas
2012|236260|Connecticut|Natural Gas
2011|236016|Connecticut|Natural Gas
2010|203814|Connecticut|Natural Gas
2009|188570|Connecticut|Natural Gas
2008|169802|Connecticut|Natural Gas
2007|183604|Connecticut|Natural Gas
2006|175870|Connecticut|Natural Gas
2005|171150|Connecticut|Natural Gas
2004|165862|Connecticut|Natural Gas
2003|157252|Connecticut|Natural Gas
2002|181665|Connecticut|Natural Gas
2001|149344|Connecticut|Natural Gas
2000|163696|Connecticut|Natural Gas
1999|155870|Connecticut|Natural Gas
1998|134891|Connecticut|Natural Gas
1997|148585|Connecticut|Natural Gas
1996|139102|Connecticut|Natural Gas
1995|144867|Connecticut|Natural Gas
1994|134374|Connecticut|Natural Gas
1993|125793|Connecticut|Natural Gas
1992|126132|Connecticut|Natural Gas
1991|115683|Connecticut|Natural Gas
1990|108843|Connecticut|Natural Gas
1989|101745|Connecticut|Natural Gas
1988|90697|Connecticut|Natural Gas
1987|94504|Connecticut|Natural Gas
1986|80962|Connecticut|Natural Gas
1985|80208|Connecticut|Natural Gas
1984|83245|Connecticut|Natural Gas
1983|76286|Connecticut|Natural Gas
1982|79253|Connecticut|Natural Gas
1981|77126|Connecticut|Natural Gas
1980|74033|Connecticut|Natural Gas
1979|68752|Connecticut|Natural Gas
1978|66038|Connecticut|Natural Gas
1977|64709|Connecticut|Natural Gas
1976|66382|Connecticut|Natural Gas
1975|64331|Connecticut|Natural Gas
1974|67139|Connecticut|Natural Gas
1973|63548|Connecticut|Natural Gas
1972|65032|Connecticut|Natural Gas
1971|62417|Connecticut|Natural Gas
1970|61543|Connecticut|Natural Gas
1969|58405|Connecticut|Natural Gas
1968|54053|Connecticut|Natural Gas
1967|50826|Connecticut|Natural Gas
1966|48744|Connecticut|Natural Gas
1965|41720|Connecticut|Natural Gas
1964|38627|Connecticut|Natural Gas
1963|35575|Connecticut|Natural Gas
1962|33355|Connecticut|Natural Gas
1961|31424|Connecticut|Natural Gas
1960|29449|Connecticut|Natural Gas
2017|30601|District of Columbia|Natural Gas
2016|30160|District of Columbia|Natural Gas
2015|33654|District of Columbia|Natural Gas
2014|35302|District of Columbia|Natural Gas
2013|33725|District of Columbia|Natural Gas
2012|29389|District of Columbia|Natural Gas
2011|33389|District of Columbia|Natural Gas
2010|33717|District of Columbia|Natural Gas
2009|34339|District of Columbia|Natural Gas
2008|32774|District of Columbia|Natural Gas
2007|33856|District of Columbia|Natural Gas
2006|29775|District of Columbia|Natural Gas
2005|33753|District of Columbia|Natural Gas
2004|33097|District of Columbia|Natural Gas
2003|33700|District of Columbia|Natural Gas
2002|33688|District of Columbia|Natural Gas
2001|30577|District of Columbia|Natural Gas
2000|34377|District of Columbia|Natural Gas
1999|32964|District of Columbia|Natural Gas
1998|31235|District of Columbia|Natural Gas
1997|34826|District of Columbia|Natural Gas
1996|34213|District of Columbia|Natural Gas
1995|33201|District of Columbia|Natural Gas
1994|31188|District of Columbia|Natural Gas
1993|33325|District of Columbia|Natural Gas
1992|33187|District of Columbia|Natural Gas
1991|31287|District of Columbia|Natural Gas
1990|29095|District of Columbia|Natural Gas
1989|33757|District of Columbia|Natural Gas
1988|33079|District of Columbia|Natural Gas
1987|31422|District of Columbia|Natural Gas
1986|29972|District of Columbia|Natural Gas
1985|29336|District of Columbia|Natural Gas
1984|29802|District of Columbia|Natural Gas
1983|29633|District of Columbia|Natural Gas
1982|29731|District of Columbia|Natural Gas
1981|29428|District of Columbia|Natural Gas
1980|27950|District of Columbia|Natural Gas
1979|30129|District of Columbia|Natural Gas
1978|26551|District of Columbia|Natural Gas
1977|26212|District of Columbia|Natural Gas
1976|29040|District of Columbia|Natural Gas
1975|26210|District of Columbia|Natural Gas
1974|27559|District of Columbia|Natural Gas
1973|28177|District of Columbia|Natural Gas
1972|28976|District of Columbia|Natural Gas
1971|27663|District of Columbia|Natural Gas
1970|26402|District of Columbia|Natural Gas
1969|25229|District of Columbia|Natural Gas
1968|22957|District of Columbia|Natural Gas
1967|21923|District of Columbia|Natural Gas
1966|17611|District of Columbia|Natural Gas
1965|17315|District of Columbia|Natural Gas
1964|16266|District of Columbia|Natural Gas
1963|15335|District of Columbia|Natural Gas
1962|14742|District of Columbia|Natural Gas
1961|13721|District of Columbia|Natural Gas
1960|12951|District of Columbia|Natural Gas
2017|103121|Delaware|Natural Gas
2016|113552|Delaware|Natural Gas
2015|107819|Delaware|Natural Gas
2014|107051|Delaware|Natural Gas
2013|100682|Delaware|Natural Gas
2012|104421|Delaware|Natural Gas
2011|81710|Delaware|Natural Gas
2010|56086|Delaware|Natural Gas
2009|51651|Delaware|Natural Gas
2008|49749|Delaware|Natural Gas
2007|49932|Delaware|Natural Gas
2006|44787|Delaware|Natural Gas
2005|48639|Delaware|Natural Gas
2004|49722|Delaware|Natural Gas
2003|47971|Delaware|Natural Gas
2002|53782|Delaware|Natural Gas
2001|51817|Delaware|Natural Gas
2000|50175|Delaware|Natural Gas
1999|58089|Delaware|Natural Gas
1998|42322|Delaware|Natural Gas
1997|48140|Delaware|Natural Gas
1996|55934|Delaware|Natural Gas
1995|62738|Delaware|Natural Gas
1994|47255|Delaware|Natural Gas
1993|39346|Delaware|Natural Gas
1992|37201|Delaware|Natural Gas
1991|38967|Delaware|Natural Gas
1990|35620|Delaware|Natural Gas
1989|35883|Delaware|Natural Gas
1988|29928|Delaware|Natural Gas
1987|37254|Delaware|Natural Gas
1986|33594|Delaware|Natural Gas
1985|39443|Delaware|Natural Gas
1984|43852|Delaware|Natural Gas
1983|35491|Delaware|Natural Gas
1982|28694|Delaware|Natural Gas
1981|31576|Delaware|Natural Gas
1980|30783|Delaware|Natural Gas
1979|25758|Delaware|Natural Gas
1978|21263|Delaware|Natural Gas
1977|16261|Delaware|Natural Gas
1976|19662|Delaware|Natural Gas
1975|18975|Delaware|Natural Gas
1974|20772|Delaware|Natural Gas
1973|23408|Delaware|Natural Gas
1972|24569|Delaware|Natural Gas
1971|26981|Delaware|Natural Gas
1970|26949|Delaware|Natural Gas
1969|26949|Delaware|Natural Gas
1968|25069|Delaware|Natural Gas
1967|21948|Delaware|Natural Gas
1966|19845|Delaware|Natural Gas
1965|18742|Delaware|Natural Gas
1964|17826|Delaware|Natural Gas
1963|17082|Delaware|Natural Gas
1962|14999|Delaware|Natural Gas
1961|9708|Delaware|Natural Gas
1960|9351|Delaware|Natural Gas
2017|1421277|Florida|Natural Gas
2016|1414358|Florida|Natural Gas
2015|1378089|Florida|Natural Gas
2014|1241250|Florida|Natural Gas
2013|1245287|Florida|Natural Gas
2012|1348390|Florida|Natural Gas
2011|1235953|Florida|Natural Gas
2010|1180462|Florida|Natural Gas
2009|1081725|Florida|Natural Gas
2008|970038|Florida|Natural Gas
2007|943845|Florida|Natural Gas
2006|917468|Florida|Natural Gas
2005|805446|Florida|Natural Gas
2004|757672|Florida|Natural Gas
2003|714826|Florida|Natural Gas
2002|708638|Florida|Natural Gas
2001|569757|Florida|Natural Gas
2000|574460|Florida|Natural Gas
1999|583448|Florida|Natural Gas
1998|529565|Florida|Natural Gas
1997|547201|Florida|Natural Gas
1996|561145|Florida|Natural Gas
1995|579310|Florida|Natural Gas
1994|417702|Florida|Natural Gas
1993|368011|Florida|Natural Gas
1992|371137|Florida|Natural Gas
1991|360992|Florida|Natural Gas
1990|341993|Florida|Natural Gas
1989|337182|Florida|Natural Gas
1988|305758|Florida|Natural Gas
1987|313553|Florida|Natural Gas
1986|298928|Florida|Natural Gas
1985|305057|Florida|Natural Gas
1984|318172|Florida|Natural Gas
1983|321009|Florida|Natural Gas
1982|339099|Florida|Natural Gas
1981|357470|Florida|Natural Gas
1980|329567|Florida|Natural Gas
1979|357014|Florida|Natural Gas
1978|333306|Florida|Natural Gas
1977|315950|Florida|Natural Gas
1976|300867|Florida|Natural Gas
1975|292139|Florida|Natural Gas
1974|302002|Florida|Natural Gas
1973|324892|Florida|Natural Gas
1972|311235|Florida|Natural Gas
1971|350527|Florida|Natural Gas
1970|350626|Florida|Natural Gas
1969|326855|Florida|Natural Gas
1968|286653|Florida|Natural Gas
1967|234326|Florida|Natural Gas
1966|220568|Florida|Natural Gas
1965|191669|Florida|Natural Gas
1964|189595|Florida|Natural Gas
1963|179441|Florida|Natural Gas
1962|162843|Florida|Natural Gas
1961|148894|Florida|Natural Gas
1960|142900|Florida|Natural Gas
2017|709694|Georgia|Natural Gas
2016|727336|Georgia|Natural Gas
2015|712580|Georgia|Natural Gas
2014|664808|Georgia|Natural Gas
2013|634635|Georgia|Natural Gas
2012|624338|Georgia|Natural Gas
2011|531596|Georgia|Natural Gas
2010|540943|Georgia|Natural Gas
2009|475240|Georgia|Natural Gas
2008|436093|Georgia|Natural Gas
2007|455220|Georgia|Natural Gas
2006|433920|Georgia|Natural Gas
2005|427825|Georgia|Natural Gas
2004|406436|Georgia|Natural Gas
2003|390760|Georgia|Natural Gas
2002|393127|Georgia|Natural Gas
2001|362643|Georgia|Natural Gas
2000|421262|Georgia|Natural Gas
1999|347107|Georgia|Natural Gas
1998|378549|Georgia|Natural Gas
1997|381712|Georgia|Natural Gas
1996|393417|Georgia|Natural Gas
1995|383385|Georgia|Natural Gas
1994|351897|Georgia|Natural Gas
1993|359989|Georgia|Natural Gas
1992|351369|Georgia|Natural Gas
1991|331599|Georgia|Natural Gas
1990|319199|Georgia|Natural Gas
1989|325560|Georgia|Natural Gas
1988|330859|Georgia|Natural Gas
1987|311055|Georgia|Natural Gas
1986|286490|Georgia|Natural Gas
1985|289572|Georgia|Natural Gas
1984|315287|Georgia|Natural Gas
1983|303129|Georgia|Natural Gas
1982|303335|Georgia|Natural Gas
1981|325103|Georgia|Natural Gas
1980|325263|Georgia|Natural Gas
1979|324478|Georgia|Natural Gas
1978|286035|Georgia|Natural Gas
1977|271811|Georgia|Natural Gas
1976|268375|Georgia|Natural Gas
1975|335376|Georgia|Natural Gas
1974|339589|Georgia|Natural Gas
1973|358532|Georgia|Natural Gas
1972|341408|Georgia|Natural Gas
1971|353199|Georgia|Natural Gas
1970|342834|Georgia|Natural Gas
1969|324940|Georgia|Natural Gas
1968|295289|Georgia|Natural Gas
1967|265271|Georgia|Natural Gas
1966|243089|Georgia|Natural Gas
1965|219774|Georgia|Natural Gas
1964|215579|Georgia|Natural Gas
1963|195667|Georgia|Natural Gas
1962|199380|Georgia|Natural Gas
1961|186255|Georgia|Natural Gas
1960|188460|Georgia|Natural Gas
2017|163|Hawaii|Natural Gas
2016|162|Hawaii|Natural Gas
2015|196|Hawaii|Natural Gas
2014|167|Hawaii|Natural Gas
2013|197|Hawaii|Natural Gas
2012|187|Hawaii|Natural Gas
2011|158|Hawaii|Natural Gas
2010|161|Hawaii|Natural Gas
2009|167|Hawaii|Natural Gas
2008|148|Hawaii|Natural Gas
2007|173|Hawaii|Natural Gas
2006|179|Hawaii|Natural Gas
2005|195|Hawaii|Natural Gas
2004|155|Hawaii|Natural Gas
2003|137|Hawaii|Natural Gas
2002|140|Hawaii|Natural Gas
2001|134|Hawaii|Natural Gas
2000|76|Hawaii|Natural Gas
1999|0|Hawaii|Natural Gas
1998|0|Hawaii|Natural Gas
1997|0|Hawaii|Natural Gas
1996|0|Hawaii|Natural Gas
1995|0|Hawaii|Natural Gas
1994|0|Hawaii|Natural Gas
1993|0|Hawaii|Natural Gas
1992|0|Hawaii|Natural Gas
1991|0|Hawaii|Natural Gas
1990|0|Hawaii|Natural Gas
1989|0|Hawaii|Natural Gas
1988|0|Hawaii|Natural Gas
1987|159|Hawaii|Natural Gas
1986|0|Hawaii|Natural Gas
1985|0|Hawaii|Natural Gas
1984|0|Hawaii|Natural Gas
1983|0|Hawaii|Natural Gas
1982|0|Hawaii|Natural Gas
1981|0|Hawaii|Natural Gas
1980|0|Hawaii|Natural Gas
1979|0|Hawaii|Natural Gas
1978|0|Hawaii|Natural Gas
1977|0|Hawaii|Natural Gas
1976|0|Hawaii|Natural Gas
1975|0|Hawaii|Natural Gas
1974|0|Hawaii|Natural Gas
1973|0|Hawaii|Natural Gas
1972|0|Hawaii|Natural Gas
1971|0|Hawaii|Natural Gas
1970|0|Hawaii|Natural Gas
1969|0|Hawaii|Natural Gas
1968|0|Hawaii|Natural Gas
1967|0|Hawaii|Natural Gas
1966|0|Hawaii|Natural Gas
1965|0|Hawaii|Natural Gas
1964|0|Hawaii|Natural Gas
1963|0|Hawaii|Natural Gas
1962|0|Hawaii|Natural Gas
1961|0|Hawaii|Natural Gas
1960|0|Hawaii|Natural Gas
2017|115899|Idaho|Natural Gas
2016|110344|Idaho|Natural Gas
2015|107871|Idaho|Natural Gas
2014|93610|Idaho|Natural Gas
2013|107089|Idaho|Natural Gas
2012|90339|Idaho|Natural Gas
2011|83947|Idaho|Natural Gas
2010|85075|Idaho|Natural Gas
2009|87072|Idaho|Natural Gas
2008|90550|Idaho|Natural Gas
2007|83904|Idaho|Natural Gas
2006|79041|Idaho|Natural Gas
2005|78118|Idaho|Natural Gas
2004|78273|Idaho|Natural Gas
2003|71754|Idaho|Natural Gas
2002|73482|Idaho|Natural Gas
2001|81804|Idaho|Natural Gas
2000|74518|Idaho|Natural Gas
1999|73361|Idaho|Natural Gas
1998|71912|Idaho|Natural Gas
1997|70801|Idaho|Natural Gas
1996|69191|Idaho|Natural Gas
1995|65687|Idaho|Natural Gas
1994|59069|Idaho|Natural Gas
1993|58294|Idaho|Natural Gas
1992|50382|Idaho|Natural Gas
1991|52741|Idaho|Natural Gas
1990|46786|Idaho|Natural Gas
1989|46904|Idaho|Natural Gas
1988|41551|Idaho|Natural Gas
1987|37780|Idaho|Natural Gas
1986|35450|Idaho|Natural Gas
1985|41115|Idaho|Natural Gas
1984|40341|Idaho|Natural Gas
1983|36833|Idaho|Natural Gas
1982|42849|Idaho|Natural Gas
1981|48107|Idaho|Natural Gas
1980|51646|Idaho|Natural Gas
1979|56792|Idaho|Natural Gas
1978|46570|Idaho|Natural Gas
1977|48269|Idaho|Natural Gas
1976|49843|Idaho|Natural Gas
1975|63776|Idaho|Natural Gas
1974|55285|Idaho|Natural Gas
1973|59296|Idaho|Natural Gas
1972|60084|Idaho|Natural Gas
1971|53152|Idaho|Natural Gas
1970|49411|Idaho|Natural Gas
1969|42389|Idaho|Natural Gas
1968|40387|Idaho|Natural Gas
1967|35929|Idaho|Natural Gas
1966|38992|Idaho|Natural Gas
1965|36092|Idaho|Natural Gas
1964|33014|Idaho|Natural Gas
1963|28366|Idaho|Natural Gas
1962|26709|Idaho|Natural Gas
1961|24808|Idaho|Natural Gas
1960|22776|Idaho|Natural Gas
2017|1034628|Illinois|Natural Gas
2016|1045034|Illinois|Natural Gas
2015|1011357|Illinois|Natural Gas
2014|1108134|Illinois|Natural Gas
2013|1063511|Illinois|Natural Gas
2012|939024|Illinois|Natural Gas
2011|986310|Illinois|Natural Gas
2010|962240|Illinois|Natural Gas
2009|956553|Illinois|Natural Gas
2008|1003219|Illinois|Natural Gas
2007|968652|Illinois|Natural Gas
2006|896138|Illinois|Natural Gas
2005|972710|Illinois|Natural Gas
2004|955972|Illinois|Natural Gas
2003|1001534|Illinois|Natural Gas
2002|1051213|Illinois|Natural Gas
2001|958425|Illinois|Natural Gas
2000|1040261|Illinois|Natural Gas
